diagonal,SNR,seed,method,factor name,factor number,err
0,4,1,JisstPCA0 (BIC),u,1,0.0954045220376643
0,4,1,JisstPCA0 (BIC),V,1,0.10213475352602
0,4,1,JisstPCA0 (BIC),W,1,0.0977620865048871
0,4,1,JisstPCA0 (BIC),u,2,0.22310980844859
0,4,1,JisstPCA0 (BIC),V,2,0.163894834937041
0,4,1,JisstPCA0 (BIC),W,2,0.170584683497796
0,4,1,JisstPCA0 (BIC top),u,1,0.0954045220376643
0,4,1,JisstPCA0 (BIC top),V,1,0.10213475352602
0,4,1,JisstPCA0 (BIC top),W,1,0.0977620865048871
0,4,1,JisstPCA0 (BIC top),u,2,0.22310980844859
0,4,1,JisstPCA0 (BIC top),V,2,0.163894834937041
0,4,1,JisstPCA0 (BIC top),W,2,0.170584683497796
0,4,1,JisstPCA0 (oracle),u,1,0.0954045220376643
0,4,1,JisstPCA0 (oracle),V,1,0.10213475352602
0,4,1,JisstPCA0 (oracle),W,1,0.0977620865048871
0,4,1,JisstPCA0 (oracle),u,2,0.22310980844859
0,4,1,JisstPCA0 (oracle),V,2,0.163894834937041
0,4,1,JisstPCA0 (oracle),W,2,0.170584683497796
0,4,1,G-JisstPCA0 (BIC),u,1,0.0954693508599501
0,4,1,G-JisstPCA0 (BIC),V,1,0.102136040493177
0,4,1,G-JisstPCA0 (BIC),W,1,0.0977920033332443
0,4,1,G-JisstPCA0 (BIC),u,2,0.223861681667057
0,4,1,G-JisstPCA0 (BIC),V,2,0.163813295202622
0,4,1,G-JisstPCA0 (BIC),W,2,0.170317407565693
0,4,1,G-JisstPCA0 (BIC top),u,1,0.0954693508599501
0,4,1,G-JisstPCA0 (BIC top),V,1,0.102136040493177
0,4,1,G-JisstPCA0 (BIC top),W,1,0.0977920033332443
0,4,1,G-JisstPCA0 (BIC top),u,2,0.223861681667057
0,4,1,G-JisstPCA0 (BIC top),V,2,0.163813295202622
0,4,1,G-JisstPCA0 (BIC top),W,2,0.170317407565693
0,4,1,G-JisstPCA0 (oracle),u,1,0.0954693508599501
0,4,1,G-JisstPCA0 (oracle),V,1,0.102136040493177
0,4,1,G-JisstPCA0 (oracle),W,1,0.0977920033332443
0,4,1,G-JisstPCA0 (oracle),u,2,0.223861681667057
0,4,1,G-JisstPCA0 (oracle),V,2,0.163813295202622
0,4,1,G-JisstPCA0 (oracle),W,2,0.170317407565693
