"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
4,1,5,1,"G-JisstPCA0 (oracle)","u",1,0.0306023508967309
4,1,5,1,"G-JisstPCA0 (oracle)","V",1,0.125042094123873
4,1,5,1,"G-JisstPCA0 (oracle)","W",1,0.108096656703052
4,1,5,1,"G-JisstPCA0 (oracle)","u",2,0.066138561238102
4,1,5,1,"G-JisstPCA0 (oracle)","V",2,0.152029054772509
4,1,5,1,"G-JisstPCA0 (oracle)","W",2,0.137453676053193
4,1,5,1,"G-JisstPCA1 (oracle)","u",1,0.0306023508967309
4,1,5,1,"G-JisstPCA1 (oracle)","V",1,0.125042094123873
4,1,5,1,"G-JisstPCA1 (oracle)","W",1,0.108096656703052
4,1,5,1,"G-JisstPCA1 (oracle)","u",2,0.0659503990224148
4,1,5,1,"G-JisstPCA1 (oracle)","V",2,0.151702760496954
4,1,5,1,"G-JisstPCA1 (oracle)","W",2,0.137212983217442
4,1,5,1,"iHOSVD","u",1,0.033290984031666
4,1,5,1,"iHOSVD","V",1,0.959942056496883
4,1,5,1,"iHOSVD","W",1,0.126854921841655
4,1,5,1,"iHOSVD","u",2,0.105633002588124
4,1,5,1,"iHOSVD","V",2,0.9600289700598
4,1,5,1,"iHOSVD","W",2,0.180799063986566
4,1,5,1,"iHOOI","u",1,0.0299989351055168
4,1,5,1,"iHOOI","V",1,0.974087184585423
4,1,5,1,"iHOOI","W",1,0.129683275173271
4,1,5,1,"iHOOI","u",2,0.0657758703408089
4,1,5,1,"iHOOI","V",2,0.974226061629442
4,1,5,1,"iHOOI","W",2,0.138686836241926
4,1,6.25,1,"G-JisstPCA0 (oracle)","u",1,0.0242967751652161
4,1,6.25,1,"G-JisstPCA0 (oracle)","V",1,0.0997665481602293
4,1,6.25,1,"G-JisstPCA0 (oracle)","W",1,0.0859565341397172
4,1,6.25,1,"G-JisstPCA0 (oracle)","u",2,0.0523985885681
4,1,6.25,1,"G-JisstPCA0 (oracle)","V",2,0.121379278151777
4,1,6.25,1,"G-JisstPCA0 (oracle)","W",2,0.10991758036731
4,1,6.25,1,"G-JisstPCA1 (oracle)","u",1,0.0242967751652161
4,1,6.25,1,"G-JisstPCA1 (oracle)","V",1,0.0997665481602293
4,1,6.25,1,"G-JisstPCA1 (oracle)","W",1,0.0859565341397172
4,1,6.25,1,"G-JisstPCA1 (oracle)","u",2,0.0523015430627342
4,1,6.25,1,"G-JisstPCA1 (oracle)","V",2,0.121038034602749
4,1,6.25,1,"G-JisstPCA1 (oracle)","W",2,0.109662112915893
4,1,6.25,1,"iHOSVD","u",1,0.0255050028371411
4,1,6.25,1,"iHOSVD","V",1,0.958759953135999
4,1,6.25,1,"iHOSVD","W",1,0.0979446118814154
4,1,6.25,1,"iHOSVD","u",2,0.0750927739621929
4,1,6.25,1,"iHOSVD","V",2,0.95880414278083
4,1,6.25,1,"iHOSVD","W",2,0.135317916510655
4,1,6.25,1,"iHOOI","u",1,0.0238875349389616
4,1,6.25,1,"iHOOI","V",1,0.970274385050895
4,1,6.25,1,"iHOOI","W",1,0.0990329200087864
4,1,6.25,1,"iHOOI","u",2,0.0524763802415082
4,1,6.25,1,"iHOOI","V",2,0.97037058869168
4,1,6.25,1,"iHOOI","W",2,0.111119011496335
4,1,8.5,1,"G-JisstPCA0 (oracle)","u",1,0.017703101708767
4,1,8.5,1,"G-JisstPCA0 (oracle)","V",1,0.073177026528957
4,1,8.5,1,"G-JisstPCA0 (oracle)","W",1,0.0627737809348242
4,1,8.5,1,"G-JisstPCA0 (oracle)","u",2,0.0381549375659787
4,1,8.5,1,"G-JisstPCA0 (oracle)","V",2,0.0891545620259189
4,1,8.5,1,"G-JisstPCA0 (oracle)","W",2,0.0807827091172893
4,1,8.5,1,"G-JisstPCA1 (oracle)","u",1,0.017703101708767
4,1,8.5,1,"G-JisstPCA1 (oracle)","V",1,0.073177026528957
4,1,8.5,1,"G-JisstPCA1 (oracle)","W",1,0.0627737809348242
4,1,8.5,1,"G-JisstPCA1 (oracle)","u",2,0.0381210868478648
4,1,8.5,1,"G-JisstPCA1 (oracle)","V",2,0.0888482225892939
4,1,8.5,1,"G-JisstPCA1 (oracle)","W",2,0.0805118046011808
4,1,8.5,1,"iHOSVD","u",1,0.0180763539550143
4,1,8.5,1,"iHOSVD","V",1,0.957566039243409
4,1,8.5,1,"iHOSVD","W",1,0.0699002718298087
4,1,8.5,1,"iHOSVD","u",2,0.048857045257593
4,1,8.5,1,"iHOSVD","V",2,0.95759436110339
4,1,8.5,1,"iHOSVD","W",2,0.0932292480186213
4,1,8.5,1,"iHOOI","u",1,0.0174953222659246
4,1,8.5,1,"iHOOI","V",1,0.966016515260367
4,1,8.5,1,"iHOOI","W",1,0.0703773763864034
4,1,8.5,1,"iHOOI","u",2,0.0385344303118575
4,1,8.5,1,"iHOOI","V",2,0.96607240468005
4,1,8.5,1,"iHOOI","W",2,0.081848653170035
4,1,12.5,1,"G-JisstPCA0 (oracle)","u",1,0.0119185159020961
4,1,12.5,1,"G-JisstPCA0 (oracle)","V",1,0.0496674692756646
4,1,12.5,1,"G-JisstPCA0 (oracle)","W",1,0.0424137276332333
4,1,12.5,1,"G-JisstPCA0 (oracle)","u",2,0.0257338092702746
4,1,12.5,1,"G-JisstPCA0 (oracle)","V",2,0.0606169399561455
4,1,12.5,1,"G-JisstPCA0 (oracle)","W",2,0.0549000843985863
4,1,12.5,1,"G-JisstPCA1 (oracle)","u",1,0.0119185159020961
4,1,12.5,1,"G-JisstPCA1 (oracle)","V",1,0.0496674692756646
4,1,12.5,1,"G-JisstPCA1 (oracle)","W",1,0.0424137276332333
4,1,12.5,1,"G-JisstPCA1 (oracle)","u",2,0.02572913070951
4,1,12.5,1,"G-JisstPCA1 (oracle)","V",2,0.060379690149379
4,1,12.5,1,"G-JisstPCA1 (oracle)","W",2,0.0546418563177556
4,1,12.5,1,"iHOSVD","u",1,0.0120092114484425
4,1,12.5,1,"iHOSVD","V",1,0.956422228893397
4,1,12.5,1,"iHOSVD","W",1,0.0465199151562866
4,1,12.5,1,"iHOSVD","u",2,0.0300835032239475
4,1,12.5,1,"iHOSVD","V",2,0.95643965333054
4,1,12.5,1,"iHOSVD","W",2,0.0602412321837043
4,1,12.5,1,"iHOOI","u",1,0.0118652639612171
4,1,12.5,1,"iHOOI","V",1,0.962097197659869
4,1,12.5,1,"iHOOI","W",1,0.0467953940277844
4,1,12.5,1,"iHOOI","u",2,0.0262050647854324
4,1,12.5,1,"iHOOI","V",2,0.962124468763895
4,1,12.5,1,"iHOOI","W",2,0.0557329960872873
4,1,25,1,"G-JisstPCA0 (oracle)","u",1,0.0058945615317165
4,1,25,1,"G-JisstPCA0 (oracle)","V",1,0.0247931250959858
4,1,25,1,"G-JisstPCA0 (oracle)","W",1,0.021056122301976
4,1,25,1,"G-JisstPCA0 (oracle)","u",2,0.0128107106411435
4,1,25,1,"G-JisstPCA0 (oracle)","V",2,0.0303262646279002
4,1,25,1,"G-JisstPCA0 (oracle)","W",2,0.0274316250004902
4,1,25,1,"G-JisstPCA1 (oracle)","u",1,0.0058945615317165
4,1,25,1,"G-JisstPCA1 (oracle)","V",1,0.0247931250959858
4,1,25,1,"G-JisstPCA1 (oracle)","W",1,0.021056122301976
4,1,25,1,"G-JisstPCA1 (oracle)","u",2,0.0128143285175543
4,1,25,1,"G-JisstPCA1 (oracle)","V",2,0.030194572483078
4,1,25,1,"G-JisstPCA1 (oracle)","W",2,0.0272494337554768
4,1,25,1,"iHOSVD","u",1,0.0059231610970285
4,1,25,1,"iHOSVD","V",1,0.955080794245646
4,1,25,1,"iHOSVD","W",1,0.0228679973019303
4,1,25,1,"iHOSVD","u",2,0.0138224116053221
4,1,25,1,"iHOSVD","V",2,0.955086614281511
4,1,25,1,"iHOSVD","W",2,0.0288107515076258
4,1,25,1,"iHOOI","u",1,0.00592093906762517
4,1,25,1,"iHOOI","V",1,0.957862899004695
4,1,25,1,"iHOOI","W",1,0.0229696766803281
4,1,25,1,"iHOOI","u",2,0.0131189833265289
4,1,25,1,"iHOOI","V",2,0.957870044669736
4,1,25,1,"iHOOI","W",2,0.0278966136227179
4,1,5,2,"G-JisstPCA0 (oracle)","u",1,0.0296780392773704
4,1,5,2,"G-JisstPCA0 (oracle)","V",1,0.123788070753755
4,1,5,2,"G-JisstPCA0 (oracle)","W",1,0.0868404692308196
4,1,5,2,"G-JisstPCA0 (oracle)","u",2,0.0761926979224344
4,1,5,2,"G-JisstPCA0 (oracle)","V",2,0.169201894926254
4,1,5,2,"G-JisstPCA0 (oracle)","W",2,0.11754603378837
4,1,5,2,"G-JisstPCA1 (oracle)","u",1,0.0296780392773704
4,1,5,2,"G-JisstPCA1 (oracle)","V",1,0.123788070753755
4,1,5,2,"G-JisstPCA1 (oracle)","W",1,0.0868404692308196
4,1,5,2,"G-JisstPCA1 (oracle)","u",2,0.0722362085713569
4,1,5,2,"G-JisstPCA1 (oracle)","V",2,0.169537416270531
4,1,5,2,"G-JisstPCA1 (oracle)","W",2,0.109320954242166
4,1,5,2,"iHOSVD","u",1,0.0296582067493131
4,1,5,2,"iHOSVD","V",1,0.97154635578093
4,1,5,2,"iHOSVD","W",1,0.196811000097562
4,1,5,2,"iHOSVD","u",2,0.0861112503330195
4,1,5,2,"iHOSVD","V",2,0.972235797748909
4,1,5,2,"iHOSVD","W",2,0.199801541488244
4,1,5,2,"iHOOI","u",1,0.0283257436733566
4,1,5,2,"iHOOI","V",1,0.967529278530936
4,1,5,2,"iHOOI","W",1,0.157187367660251
4,1,5,2,"iHOOI","u",2,0.0680605394172388
4,1,5,2,"iHOOI","V",2,0.967649235997542
4,1,5,2,"iHOOI","W",2,0.16400000570172
4,1,6.25,2,"G-JisstPCA0 (oracle)","u",1,0.0234773508378454
4,1,6.25,2,"G-JisstPCA0 (oracle)","V",1,0.0988263112962002
4,1,6.25,2,"G-JisstPCA0 (oracle)","W",1,0.0699123691256094
4,1,6.25,2,"G-JisstPCA0 (oracle)","u",2,0.060460889925369
4,1,6.25,2,"G-JisstPCA0 (oracle)","V",2,0.134999648837298
4,1,6.25,2,"G-JisstPCA0 (oracle)","W",2,0.0947846893146602
4,1,6.25,2,"G-JisstPCA1 (oracle)","u",1,0.0234773508378454
4,1,6.25,2,"G-JisstPCA1 (oracle)","V",1,0.0988263112962002
4,1,6.25,2,"G-JisstPCA1 (oracle)","W",1,0.0699123691256094
4,1,6.25,2,"G-JisstPCA1 (oracle)","u",2,0.057287652883799
4,1,6.25,2,"G-JisstPCA1 (oracle)","V",2,0.13523836090162
4,1,6.25,2,"G-JisstPCA1 (oracle)","W",2,0.0877176557387438
4,1,6.25,2,"iHOSVD","u",1,0.0232699507526372
4,1,6.25,2,"iHOSVD","V",1,0.969238694543859
4,1,6.25,2,"iHOSVD","W",1,0.148360914561451
4,1,6.25,2,"iHOSVD","u",2,0.0643506718205901
4,1,6.25,2,"iHOSVD","V",2,0.969586027797698
4,1,6.25,2,"iHOSVD","W",2,0.15083721195659
4,1,6.25,2,"iHOOI","u",1,0.0226309323607961
4,1,6.25,2,"iHOOI","V",1,0.967274938327193
