scenario,orthogonal,SNR,seed,method,factor name,factor number,err
4,0,4,1,JisstPCA0 (BIC),u,1,0.0328134766653735
4,0,4,1,JisstPCA0 (BIC),V,1,1
4,0,4,1,JisstPCA0 (BIC),W,1,1
4,0,4,1,JisstPCA0 (BIC),u,2,0.989817084702073
4,0,4,1,JisstPCA0 (BIC),V,2,1
4,0,4,1,JisstPCA0 (BIC),W,2,1
4,0,4,1,JisstPCA0 (BIC top),u,1,0.0328134766653735
4,0,4,1,JisstPCA0 (BIC top),V,1,1
4,0,4,1,JisstPCA0 (BIC top),W,1,1
4,0,4,1,JisstPCA0 (BIC top),u,2,0.989817084702073
4,0,4,1,JisstPCA0 (BIC top),V,2,1
4,0,4,1,JisstPCA0 (BIC top),W,2,1
4,0,4,1,JisstPCA0 (oracle),u,1,0.0342555685767909
4,0,4,1,JisstPCA0 (oracle),V,1,0.129668314399683
4,0,4,1,JisstPCA0 (oracle),W,1,0.109677207395337
4,0,4,1,JisstPCA0 (oracle),u,2,0.995072929562344
4,0,4,1,JisstPCA0 (oracle),V,2,0.998422411025937
4,0,4,1,JisstPCA0 (oracle),W,2,0.993635857569484
4,0,4,1,G-JisstPCA0 (BIC),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA0 (BIC),V,1,0.129578357438022
4,0,4,1,G-JisstPCA0 (BIC),W,1,0.109791094053639
4,0,4,1,G-JisstPCA0 (BIC),u,2,0.0951575381791878
4,0,4,1,G-JisstPCA0 (BIC),V,2,0.213325960531598
4,0,4,1,G-JisstPCA0 (BIC),W,2,0.153748446601352
4,0,4,1,G-JisstPCA0 (BIC top),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA0 (BIC top),V,1,0.129578357438022
4,0,4,1,G-JisstPCA0 (BIC top),W,1,0.109791094053639
4,0,4,1,G-JisstPCA0 (BIC top),u,2,0.0951575381791878
4,0,4,1,G-JisstPCA0 (BIC top),V,2,0.213325960531598
4,0,4,1,G-JisstPCA0 (BIC top),W,2,0.153748446601352
4,0,4,1,G-JisstPCA0 (oracle),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA0 (oracle),V,1,0.129578357438022
4,0,4,1,G-JisstPCA0 (oracle),W,1,0.109791094053639
4,0,4,1,G-JisstPCA0 (oracle),u,2,0.0951575381791878
4,0,4,1,G-JisstPCA0 (oracle),V,2,0.213325960531598
4,0,4,1,G-JisstPCA0 (oracle),W,2,0.153748446601352
4,0,4,1,JisstPCA1 (BIC),u,1,0.0328134766653735
4,0,4,1,JisstPCA1 (BIC),V,1,1
4,0,4,1,JisstPCA1 (BIC),W,1,1
4,0,4,1,JisstPCA1 (BIC),u,2,0.168221527374095
4,0,4,1,JisstPCA1 (BIC),V,2,0.232628467117028
4,0,4,1,JisstPCA1 (BIC),W,2,0.267937496679348
4,0,4,1,JisstPCA1 (BIC top),u,1,0.0328134766653735
4,0,4,1,JisstPCA1 (BIC top),V,1,1
4,0,4,1,JisstPCA1 (BIC top),W,1,1
4,0,4,1,JisstPCA1 (BIC top),u,2,0.168221527374095
4,0,4,1,JisstPCA1 (BIC top),V,2,0.232628467117028
4,0,4,1,JisstPCA1 (BIC top),W,2,0.267937496679348
4,0,4,1,JisstPCA1 (oracle),u,1,0.0342555685767909
4,0,4,1,JisstPCA1 (oracle),V,1,0.129668314399683
4,0,4,1,JisstPCA1 (oracle),W,1,0.109677207395337
4,0,4,1,JisstPCA1 (oracle),u,2,0.171406610468545
4,0,4,1,JisstPCA1 (oracle),V,2,0.298782095842905
4,0,4,1,JisstPCA1 (oracle),W,2,0.354815661351999
4,0,4,1,G-JisstPCA1 (BIC),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA1 (BIC),V,1,0.129578357438022
4,0,4,1,G-JisstPCA1 (BIC),W,1,0.109791094053639
4,0,4,1,G-JisstPCA1 (BIC),u,2,0.175239703475891
4,0,4,1,G-JisstPCA1 (BIC),V,2,0.298941312144072
4,0,4,1,G-JisstPCA1 (BIC),W,2,0.354861168195461
4,0,4,1,G-JisstPCA1 (BIC top),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA1 (BIC top),V,1,0.129578357438022
4,0,4,1,G-JisstPCA1 (BIC top),W,1,0.109791094053639
4,0,4,1,G-JisstPCA1 (BIC top),u,2,0.175239703475891
4,0,4,1,G-JisstPCA1 (BIC top),V,2,0.298941312144072
4,0,4,1,G-JisstPCA1 (BIC top),W,2,0.354861168195461
4,0,4,1,G-JisstPCA1 (oracle),u,1,0.0321938182473952
4,0,4,1,G-JisstPCA1 (oracle),V,1,0.129578357438022
4,0,4,1,G-JisstPCA1 (oracle),W,1,0.109791094053639
4,0,4,1,G-JisstPCA1 (oracle),u,2,0.175239703475891
4,0,4,1,G-JisstPCA1 (oracle),V,2,0.298941312144072
4,0,4,1,G-JisstPCA1 (oracle),W,2,0.354861168195461
4,0,4,1,iHOSVD,u,1,0.0364899422123134
4,0,4,1,iHOSVD,V,1,0.275163812265371
4,0,4,1,iHOSVD,W,1,0.298081652785687
4,0,4,1,iHOSVD,u,2,0.204750347855311
4,0,4,1,iHOSVD,V,2,0.50637284779649
4,0,4,1,iHOSVD,W,2,0.576129109750706
4,0,4,1,iHOOI,u,1,0.0358155216082826
4,0,4,1,iHOOI,V,1,0.294070803221836
4,0,4,1,iHOOI,W,1,0.30064157089393
4,0,4,1,iHOOI,u,2,0.179286209010275
4,0,4,1,iHOOI,V,2,0.478333064695386
4,0,4,1,iHOOI,W,2,0.56692856604127
4,0,5,1,JisstPCA0 (BIC),u,1,0.0258462616325002
4,0,5,1,JisstPCA0 (BIC),V,1,1
4,0,5,1,JisstPCA0 (BIC),W,1,0.0886843774412247
4,0,5,1,JisstPCA0 (BIC),u,2,0.990671237665682
4,0,5,1,JisstPCA0 (BIC),V,2,1
4,0,5,1,JisstPCA0 (BIC),W,2,0.999999999999999
4,0,5,1,JisstPCA0 (BIC top),u,1,0.0258462616325002
4,0,5,1,JisstPCA0 (BIC top),V,1,1
4,0,5,1,JisstPCA0 (BIC top),W,1,0.0886843774412247
4,0,5,1,JisstPCA0 (BIC top),u,2,0.990671237665682
4,0,5,1,JisstPCA0 (BIC top),V,2,1
4,0,5,1,JisstPCA0 (BIC top),W,2,0.999999999999999
4,0,5,1,JisstPCA0 (oracle),u,1,0.0277247836825743
4,0,5,1,JisstPCA0 (oracle),V,1,0.104451205180934
4,0,5,1,JisstPCA0 (oracle),W,1,0.0886323236924271
4,0,5,1,JisstPCA0 (oracle),u,2,0.995244699697677
4,0,5,1,JisstPCA0 (oracle),V,2,0.998246598034801
4,0,5,1,JisstPCA0 (oracle),W,2,0.993537936293767
4,0,5,1,G-JisstPCA0 (BIC),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA0 (BIC),V,1,0.104349323139899
4,0,5,1,G-JisstPCA0 (BIC),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA0 (BIC),u,2,0.0763252390597881
4,0,5,1,G-JisstPCA0 (BIC),V,2,0.170074838015683
4,0,5,1,G-JisstPCA0 (BIC),W,2,0.122535168862911
4,0,5,1,G-JisstPCA0 (BIC top),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA0 (BIC top),V,1,0.104349323139899
4,0,5,1,G-JisstPCA0 (BIC top),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA0 (BIC top),u,2,0.0763252390597881
4,0,5,1,G-JisstPCA0 (BIC top),V,2,0.170074838015683
4,0,5,1,G-JisstPCA0 (BIC top),W,2,0.122535168862911
4,0,5,1,G-JisstPCA0 (oracle),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA0 (oracle),V,1,0.104349323139899
4,0,5,1,G-JisstPCA0 (oracle),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA0 (oracle),u,2,0.0763252390597881
4,0,5,1,G-JisstPCA0 (oracle),V,2,0.170074838015683
4,0,5,1,G-JisstPCA0 (oracle),W,2,0.122535168862911
4,0,5,1,JisstPCA1 (BIC),u,1,0.0258462616325002
4,0,5,1,JisstPCA1 (BIC),V,1,1
4,0,5,1,JisstPCA1 (BIC),W,1,0.0886843774412247
4,0,5,1,JisstPCA1 (BIC),u,2,0.160492997565473
4,0,5,1,JisstPCA1 (BIC),V,2,0.204734618646415
4,0,5,1,JisstPCA1 (BIC),W,2,0.350709342989947
4,0,5,1,JisstPCA1 (BIC top),u,1,0.0258462616325002
4,0,5,1,JisstPCA1 (BIC top),V,1,1
4,0,5,1,JisstPCA1 (BIC top),W,1,0.0886843774412247
4,0,5,1,JisstPCA1 (BIC top),u,2,0.160492997565473
4,0,5,1,JisstPCA1 (BIC top),V,2,0.204734618646415
4,0,5,1,JisstPCA1 (BIC top),W,2,0.350709342989947
4,0,5,1,JisstPCA1 (oracle),u,1,0.0277247836825743
4,0,5,1,JisstPCA1 (oracle),V,1,0.104451205180934
4,0,5,1,JisstPCA1 (oracle),W,1,0.0886323236924271
4,0,5,1,JisstPCA1 (oracle),u,2,0.161874893085331
4,0,5,1,JisstPCA1 (oracle),V,2,0.27537436448223
4,0,5,1,JisstPCA1 (oracle),W,2,0.350614555742592
4,0,5,1,G-JisstPCA1 (BIC),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA1 (BIC),V,1,0.104349323139899
4,0,5,1,G-JisstPCA1 (BIC),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA1 (BIC),u,2,0.163715035996723
4,0,5,1,G-JisstPCA1 (BIC),V,2,0.275339520857984
4,0,5,1,G-JisstPCA1 (BIC),W,2,0.350479774076125
4,0,5,1,G-JisstPCA1 (BIC top),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA1 (BIC top),V,1,0.104349323139899
4,0,5,1,G-JisstPCA1 (BIC top),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA1 (BIC top),u,2,0.163715035996723
4,0,5,1,G-JisstPCA1 (BIC top),V,2,0.275339520857984
4,0,5,1,G-JisstPCA1 (BIC top),W,2,0.350479774076125
4,0,5,1,G-JisstPCA1 (oracle),u,1,0.0259039071969593
4,0,5,1,G-JisstPCA1 (oracle),V,1,0.104349323139899
4,0,5,1,G-JisstPCA1 (oracle),W,1,0.0886830868590378
4,0,5,1,G-JisstPCA1 (oracle),u,2,0.163715035996723
4,0,5,1,G-JisstPCA1 (oracle),V,2,0.275339520857984
4,0,5,1,G-JisstPCA1 (oracle),W,2,0.350479774076125
4,0,5,1,iHOSVD,u,1,0.0316440886586137
4,0,5,1,iHOSVD,V,1,0.254262304443804
4,0,5,1,iHOSVD,W,1,0.302641339747699
4,0,5,1,iHOSVD,u,2,0.182248222806708
4,0,5,1,iHOSVD,V,2,0.457288883892318
4,0,5,1,iHOSVD,W,2,0.573882915906103
4,0,5,1,iHOOI,u,1,0.0317271930678662
4,0,5,1,iHOOI,V,1,0.274296990294579
4,0,5,1,iHOOI,W,1,0.305785110467546
4,0,5,1,iHOOI,u,2,0.171794015727193
4,0,5,1,iHOOI,V,2,0.457914201682076
4,0,5,1,iHOOI,W,2,0.572137353988355
4,0,6.25,1,JisstPCA0 (BIC),u,1,0.0212684405083797
4,0,6.25,1,JisstPCA0 (BIC),V,1,1
4,0,6.25,1,JisstPCA0 (BIC),W,1,0.0721719986440945
4,0,6.25,1,JisstPCA0 (BIC),u,2,0.990275916817097
4,0,6.25,1,JisstPCA0 (BIC),V,2,1
4,0,6.25,1,JisstPCA0 (BIC),W,2,0.999999999999999
4,0,6.25,1,JisstPCA0 (BIC top),u,1,0.0212684405083797
4,0,6.25,1,JisstPCA0 (BIC top),V,1,1
4,0,6.25,1,JisstPCA0 (BIC top),W,1,0.0721719986440945
4,0,6.25,1,JisstPCA0 (BIC top),u,2,0.990275916817097
4,0,6.25,1,JisstPCA0 (BIC top),V,2,1
4,0,6.25,1,JisstPCA0 (BIC top),W,2,0.999999999999999
4,0,6.25,1,JisstPCA0 (oracle),u,1,0.0227611940485447
4,0,6.25,1,JisstPCA0 (oracle),V,1,0.0845272570279786
4,0,6.25,1,JisstPCA0 (oracle),W,1,0.0721453140752866
