q,N,seed,method,factor name,factor number,err
50,20,1,JisstPCA0 (oracle),u,1,0.034749549079109
50,20,1,JisstPCA0 (oracle),V,1,0.0770239466934239
50,20,1,JisstPCA0 (oracle),W,1,0.135451655299741
50,20,1,JisstPCA0 (oracle),u,2,0.985683081224105
50,20,1,JisstPCA0 (oracle),V,2,0.995212418470132
50,20,1,JisstPCA0 (oracle),W,2,0.998664866868403
50,20,1,JisstPCA0 (BIC),u,1,0.034749549079109
50,20,1,JisstPCA0 (BIC),V,1,0.0770239466934239
50,20,1,JisstPCA0 (BIC),W,1,0.135451655299741
50,20,1,JisstPCA0 (BIC),u,2,0.985683081224105
50,20,1,JisstPCA0 (BIC),V,2,0.995212418470132
50,20,1,JisstPCA0 (BIC),W,2,0.998664866868403
50,20,1,G-JisstPCA0 (oracle),u,1,0.0372778300489339
50,20,1,G-JisstPCA0 (oracle),V,1,0.0769811026008756
50,20,1,G-JisstPCA0 (oracle),W,1,0.135471328133059
50,20,1,G-JisstPCA0 (oracle),u,2,0.987258863456911
50,20,1,G-JisstPCA0 (oracle),V,2,0.995608609811475
50,20,1,G-JisstPCA0 (oracle),W,2,0.993783262155601
50,20,1,G-JisstPCA0 (BIC),u,1,0.0372778300489339
50,20,1,G-JisstPCA0 (BIC),V,1,0.0769811026008756
50,20,1,G-JisstPCA0 (BIC),W,1,0.135471328133059
50,20,1,G-JisstPCA0 (BIC),u,2,0.987258863456911
50,20,1,G-JisstPCA0 (BIC),V,2,0.995608609811475
50,20,1,G-JisstPCA0 (BIC),W,2,0.993783262155601
50,20,1,JisstPCA2 (oracle),u,1,0.034749549079109
50,20,1,JisstPCA2 (oracle),V,1,0.0770239466934239
50,20,1,JisstPCA2 (oracle),W,1,0.135451655299741
50,20,1,JisstPCA2 (oracle),u,2,0.426904419314594
50,20,1,JisstPCA2 (oracle),V,2,0.392204655746154
50,20,1,JisstPCA2 (oracle),W,2,0.989035502017892
50,20,1,JisstPCA2 (BIC),u,1,0.034749549079109
50,20,1,JisstPCA2 (BIC),V,1,0.0770239466934239
50,20,1,JisstPCA2 (BIC),W,1,0.135451655299741
