q,N,seed,method,factor name,RI,ARI
50,20,1,JisstPCA0 (oracle),sample,1,1
50,20,1,JisstPCA0 (oracle),networkX1,1,1
50,20,1,JisstPCA0 (oracle),networkY1,1,1
50,20,1,JisstPCA0 (oracle),networkX2,0.496518987341772,-0.00692169036651305
50,20,1,JisstPCA0 (oracle),networkY2,0.497142857142857,-0.00559701492537316
50,20,1,JisstPCA0 (BIC),sample,0.605263157894737,0.129930394431554
50,20,1,JisstPCA0 (BIC),networkX1,1,1
50,20,1,JisstPCA0 (BIC),networkY1,1,1
50,20,1,JisstPCA0 (BIC),networkX2,0.496518987341772,-0.00692169036651305
50,20,1,JisstPCA0 (BIC),networkY2,0.497142857142857,-0.00559701492537316
50,20,1,G-JisstPCA0 (oracle),sample,0.605263157894737,-0.0683760683760685
50,20,1,G-JisstPCA0 (oracle),networkX1,1,1
50,20,1,G-JisstPCA0 (oracle),networkY1,1,1
50,20,1,G-JisstPCA0 (oracle),networkX2,0.496518987341772,-0.00692169036651305
50,20,1,G-JisstPCA0 (oracle),networkY2,0.502857142857143,0.00599580293794338
50,20,1,G-JisstPCA0 (BIC),sample,0.494736842105263,-0.045751633986928
50,20,1,G-JisstPCA0 (BIC),networkX1,1,1
50,20,1,G-JisstPCA0 (BIC),networkY1,1,1
50,20,1,G-JisstPCA0 (BIC),networkX2,0.496518987341772,-0.00692169036651305
50,20,1,G-JisstPCA0 (BIC),networkY2,0.497142857142857,-0.0053290700772716
50,20,1,JisstPCA2 (oracle),sample,1,1
50,20,1,JisstPCA2 (oracle),networkX1,1,1
50,20,1,JisstPCA2 (oracle),networkY1,1,1
50,20,1,JisstPCA2 (oracle),networkX2,1,1
50,20,1,JisstPCA2 (oracle),networkY2,0.489795918367347,-0.021207776184601
50,20,1,JisstPCA2 (BIC),sample,1,1
50,20,1,JisstPCA2 (BIC),networkX1,1,1
50,20,1,JisstPCA2 (BIC),networkY1,1,1
50,20,1,JisstPCA2 (BIC),networkX2,1,1
50,20,1,JisstPCA2 (BIC),networkY2,0.489795918367347,-0.021207776184601
50,20,1,G-JisstPCA2 (oracle),sample,1,1
50,20,1,G-JisstPCA2 (oracle),networkX1,1,1
50,20,1,G-JisstPCA2 (oracle),networkY1,1,1
50,20,1,G-JisstPCA2 (oracle),networkX2,1,1
50,20,1,G-JisstPCA2 (oracle),networkY2,0.489795918367347,-0.0205271751807791
50,20,1,G-JisstPCA2 (BIC),sample,1,1
50,20,1,G-JisstPCA2 (BIC),networkX1,1,1
