method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,1,1,0.000589553260821118
truth,V,1,2,1,0.00691653813875636
truth,V,1,3,1,0.0131940151239567
truth,V,1,4,1,0.00130981722129378
truth,V,1,5,1,0.00445755722304742
truth,V,1,6,1,-0.00767545680884812
truth,V,1,7,1,0.00642949260359428
truth,V,1,8,1,-0.00704809334155283
truth,V,1,9,1,0.00280946158104899
truth,V,1,10,1,0.00329397381311079
truth,V,1,11,1,-0.00230068681653962
truth,V,1,12,1,0.00290431642483144
truth,V,1,13,1,-0.00395480076549977
truth,V,1,14,1,-0.00466775715989743
truth,V,1,15,1,0.00424232015123203
truth,V,1,16,1,-0.00491417331133628
truth,V,1,17,1,-0.00419270657065804
truth,V,1,18,1,-0.00318116918734004
truth,V,1,19,1,-0.00630998857123324
truth,V,1,20,1,-0.00402643321799523
truth,V,1,21,1,0
truth,V,1,22,1,0
truth,V,1,23,1,0
truth,V,1,24,1,0
truth,V,1,25,1,0
truth,V,1,26,1,0
truth,V,1,27,1,0
truth,V,1,28,1,0
truth,V,1,29,1,0
truth,V,1,30,1,0
truth,V,1,31,1,0
truth,V,1,32,1,0
truth,V,1,33,1,0
truth,V,1,34,1,0
truth,V,1,35,1,0
truth,V,1,36,1,0
truth,V,1,37,1,0
truth,V,1,38,1,0
truth,V,1,39,1,0
truth,V,1,40,1,0
truth,V,1,41,1,0
truth,V,1,42,1,0
truth,V,1,43,1,0
truth,V,1,44,1,0
truth,V,1,45,1,0
truth,V,1,46,1,0
truth,V,1,47,1,0
truth,V,1,48,1,0
truth,V,1,49,1,0
truth,V,1,50,1,0
truth,V,1,1,2,0.00691653813875636
truth,V,1,2,2,0.0811436438469407
truth,V,1,3,2,0.154789931415313
truth,V,1,4,2,0.0153665518756704
truth,V,1,5,2,0.0522952998274589
truth,V,1,6,2,-0.0900471480334719
truth,V,1,7,2,0.0754297088335583
truth,V,1,8,2,-0.0826870270117226
truth,V,1,9,2,0.0329601233103723
truth,V,1,10,2,0.0386443380445627
truth,V,1,11,2,-0.0269912646904323
truth,V,1,12,2,0.0340729441329614
truth,V,1,13,2,-0.0463970469566475
truth,V,1,14,2,-0.0547613295767683
truth,V,1,15,2,0.0497701752712618
truth,V,1,16,2,-0.0576522417685839
truth,V,1,17,2,-0.0491881172197767
truth,V,1,18,2,-0.0373209334461641
truth,V,1,19,2,-0.0740277079415454
truth,V,1,20,2,-0.047237426651889
truth,V,1,21,2,0
truth,V,1,22,2,0
truth,V,1,23,2,0
truth,V,1,24,2,0
truth,V,1,25,2,0
truth,V,1,26,2,0
truth,V,1,27,2,0
truth,V,1,28,2,0
truth,V,1,29,2,0
truth,V,1,30,2,0
truth,V,1,31,2,0
truth,V,1,32,2,0
truth,V,1,33,2,0
truth,V,1,34,2,0
truth,V,1,35,2,0
truth,V,1,36,2,0
truth,V,1,37,2,0
truth,V,1,38,2,0
truth,V,1,39,2,0
truth,V,1,40,2,0
truth,V,1,41,2,0
truth,V,1,42,2,0
truth,V,1,43,2,0
truth,V,1,44,2,0
truth,V,1,45,2,0
truth,V,1,46,2,0
truth,V,1,47,2,0
truth,V,1,48,2,0
truth,V,1,49,2,0
truth,V,1,50,2,0
truth,V,1,1,3,0.0131940151239567
truth,V,1,2,3,0.154789931415313
truth,V,1,3,3,0.29527787675831
truth,V,1,4,3,0.0293132942786194
truth,V,1,5,3,0.0997587178720315
truth,V,1,6,3,-0.171774290720013
truth,V,1,7,3,0.14389000670277
truth,V,1,8,3,-0.157734095158745
truth,V,1,9,3,0.0628748597521249
truth,V,1,10,3,0.0737180899441891
truth,V,1,11,3,-0.0514886417736598
truth,V,1,12,3,0.0649976810926481
truth,V,1,13,3,-0.0885071876959253
truth,V,1,14,3,-0.104462925837892
truth,V,1,15,3,0.094941780422117
truth,V,1,16,3,-0.109977641207871
truth,V,1,17,3,-0.0938314442134169
truth,V,1,18,3,-0.0711935581717778
truth,V,1,19,3,-0.14121554433418
truth,V,1,20,3,-0.0901102992795587
truth,V,1,21,3,0
truth,V,1,22,3,0
truth,V,1,23,3,0
truth,V,1,24,3,0
truth,V,1,25,3,0
truth,V,1,26,3,0
truth,V,1,27,3,0
truth,V,1,28,3,0
truth,V,1,29,3,0
truth,V,1,30,3,0
truth,V,1,31,3,0
