"diagonal","SNR","seed","method","factor.name","factor.number","err"
0,4,1,"JisstPCA0 (BIC)","u",1,0.0668957668811569
0,4,1,"JisstPCA0 (BIC)","V",1,0.175585542993027
0,4,1,"JisstPCA0 (BIC)","W",1,0.126321634942278
0,4,1,"JisstPCA0 (BIC)","u",2,0.267692121730264
0,4,1,"JisstPCA0 (BIC)","V",2,0.999999999999999
0,4,1,"JisstPCA0 (BIC)","W",2,0.999999999999999
0,4,1,"JisstPCA0 (BIC top)","u",1,0.0668957668811569
0,4,1,"JisstPCA0 (BIC top)","V",1,0.175585542993027
0,4,1,"JisstPCA0 (BIC top)","W",1,0.126321634942278
0,4,1,"JisstPCA0 (BIC top)","u",2,0.267692121730264
0,4,1,"JisstPCA0 (BIC top)","V",2,0.999999999999999
0,4,1,"JisstPCA0 (BIC top)","W",2,0.999999999999999
0,4,1,"JisstPCA0 (oracle)","u",1,0.0668957668811569
0,4,1,"JisstPCA0 (oracle)","V",1,0.175585542993027
0,4,1,"JisstPCA0 (oracle)","W",1,0.126321634942278
0,4,1,"JisstPCA0 (oracle)","u",2,0.195284837352936
0,4,1,"JisstPCA0 (oracle)","V",2,0.372321329368438
0,4,1,"JisstPCA0 (oracle)","W",2,0.267109572002128
0,4,1,"JisstPCA1 (BIC)","u",1,0.0668957668811569
0,4,1,"JisstPCA1 (BIC)","V",1,0.175585542993027
0,4,1,"JisstPCA1 (BIC)","W",1,0.126321634942278
0,4,1,"JisstPCA1 (BIC)","u",2,0.283623875434478
0,4,1,"JisstPCA1 (BIC)","V",2,1
0,4,1,"JisstPCA1 (BIC)","W",2,1
0,4,1,"JisstPCA1 (BIC top)","u",1,0.0668957668811569
0,4,1,"JisstPCA1 (BIC top)","V",1,0.175585542993027
0,4,1,"JisstPCA1 (BIC top)","W",1,0.126321634942278
0,4,1,"JisstPCA1 (BIC top)","u",2,0.283623875434478
0,4,1,"JisstPCA1 (BIC top)","V",2,1
0,4,1,"JisstPCA1 (BIC top)","W",2,1
0,4,1,"JisstPCA1 (oracle)","u",1,0.0668957668811569
