"scenario","orthogonal","SNR","seed","method","factor.name","factor.number","err"
1,1,5,1,"JisstPCA0 (BIC)","u",1,0.0750379892573785
1,1,5,1,"JisstPCA0 (BIC)","V",1,0.0794558978828718
1,1,5,1,"JisstPCA0 (BIC)","W",1,0.0759046584156656
1,1,5,1,"JisstPCA0 (BIC)","u",2,0.191401408044325
1,1,5,1,"JisstPCA0 (BIC)","V",2,0.14568454790439
1,1,5,1,"JisstPCA0 (BIC)","W",2,0.152781886905633
1,1,5,1,"JisstPCA0 (oracle)","u",1,0.0750379892573785
1,1,5,1,"JisstPCA0 (oracle)","V",1,0.0794558978828718
1,1,5,1,"JisstPCA0 (oracle)","W",1,0.0759046584156656
1,1,5,1,"JisstPCA0 (oracle)","u",2,0.191401408044325
1,1,5,1,"JisstPCA0 (oracle)","V",2,0.14568454790439
1,1,5,1,"JisstPCA0 (oracle)","W",2,0.152781886905633
1,1,5,1,"G-JisstPCA0 (BIC)","u",1,0.0750672374461226
1,1,5,1,"G-JisstPCA0 (BIC)","V",1,0.0794431960166962
1,1,5,1,"G-JisstPCA0 (BIC)","W",1,0.0759154194669903
1,1,5,1,"G-JisstPCA0 (BIC)","u",2,0.191425965671936
1,1,5,1,"G-JisstPCA0 (BIC)","V",2,0.145677124862684
1,1,5,1,"G-JisstPCA0 (BIC)","W",2,0.152889769777015
1,1,5,1,"G-JisstPCA0 (oracle)","u",1,0.0750672374461226
1,1,5,1,"G-JisstPCA0 (oracle)","V",1,0.0794431960166962
1,1,5,1,"G-JisstPCA0 (oracle)","W",1,0.0759154194669903
1,1,5,1,"G-JisstPCA0 (oracle)","u",2,0.191425965671936
1,1,5,1,"G-JisstPCA0 (oracle)","V",2,0.145677124862684
1,1,5,1,"G-JisstPCA0 (oracle)","W",2,0.152889769777015
1,1,5,1,"JisstPCA1 (BIC)","u",1,0.0750379892573785
1,1,5,1,"JisstPCA1 (BIC)","V",1,0.0794558978828718
1,1,5,1,"JisstPCA1 (BIC)","W",1,0.0759046584156656
1,1,5,1,"JisstPCA1 (BIC)","u",2,0.190156058683281
1,1,5,1,"JisstPCA1 (BIC)","V",2,0.141629961403177
1,1,5,1,"JisstPCA1 (BIC)","W",2,0.145904518944413
1,1,5,1,"JisstPCA1 (oracle)","u",1,0.0750379892573785
1,1,5,1,"JisstPCA1 (oracle)","V",1,0.0794558978828718
1,1,5,1,"JisstPCA1 (oracle)","W",1,0.0759046584156656
1,1,5,1,"JisstPCA1 (oracle)","u",2,0.190156058683281
1,1,5,1,"JisstPCA1 (oracle)","V",2,0.141629961403177
1,1,5,1,"JisstPCA1 (oracle)","W",2,0.145904518944413
1,1,5,1,"G-JisstPCA1 (BIC)","u",1,0.0750672374461226
1,1,5,1,"G-JisstPCA1 (BIC)","V",1,0.0794431960166962
1,1,5,1,"G-JisstPCA1 (BIC)","W",1,0.0759154194669903
1,1,5,1,"G-JisstPCA1 (BIC)","u",2,0.190166980263215
1,1,5,1,"G-JisstPCA1 (BIC)","V",2,0.141605387010014
1,1,5,1,"G-JisstPCA1 (BIC)","W",2,0.146005756965241
1,1,5,1,"G-JisstPCA1 (oracle)","u",1,0.0750672374461226
1,1,5,1,"G-JisstPCA1 (oracle)","V",1,0.0794431960166962
1,1,5,1,"G-JisstPCA1 (oracle)","W",1,0.0759154194669903
1,1,5,1,"G-JisstPCA1 (oracle)","u",2,0.190166980263215
1,1,5,1,"G-JisstPCA1 (oracle)","V",2,0.141605387010014
1,1,5,1,"G-JisstPCA1 (oracle)","W",2,0.146005756965241
1,1,5,1,"iHOSVD","u",1,0.0766237270337154
1,1,5,1,"iHOSVD","V",1,0.107473741718027
1,1,5,1,"iHOSVD","W",1,0.112010626624317
1,1,5,1,"iHOSVD","u",2,0.225412074948691
1,1,5,1,"iHOSVD","V",2,0.257576234366949
1,1,5,1,"iHOSVD","W",2,0.275335673063014
1,1,5,1,"iHOOI","u",1,0.0752725884441914
1,1,5,1,"iHOOI","V",1,0.0832257092172195
1,1,5,1,"iHOOI","W",1,0.0899962723597015
