factor,dim,SNR,seed,iteration,stat_err,optim_loss
u,60,1.5,1,0,0.357122280165658,NaN
u,60,1.5,1,1,0.236365992694528,440047.404465814
V,60,1.5,1,1,0.358596247779461,440047.404465814
W,60,1.5,1,1,0.308596121856163,440047.404465814
u,60,1.5,1,2,0.231912567480161,440024.256782929
V,60,1.5,1,2,0.344676879647537,440024.256782929
W,60,1.5,1,2,0.299331805648694,440024.256782929
u,60,1.5,1,3,0.231568485186567,440023.627149675
V,60,1.5,1,3,0.343563290828594,440023.627149675
W,60,1.5,1,3,0.299007646052099,440023.627149675
u,60,1.5,1,4,0.231525492835289,440023.598160961
V,60,1.5,1,4,0.343368605192821,440023.598160961
W,60,1.5,1,4,0.298990577591078,440023.598160961
u,60,1.5,1,5,0.231519500681092,440023.596516223
V,60,1.5,1,5,0.343325055164185,440023.596516223
W,60,1.5,1,5,0.298982638159345,440023.596516223
u,60,1.5,1,6,0.231518838553982,440023.596411341
V,60,1.5,1,6,0.343314227361566,440023.596411341
W,60,1.5,1,6,0.298977975477414,440023.596411341
u,60,1.5,1,7,0.231518854824361,440023.596404148
V,60,1.5,1,7,0.343311345533754,440023.596404148
W,60,1.5,1,7,0.298975925368633,440023.596404148
u,60,1.5,1,8,0.231518901935294,440023.596403631
V,60,1.5,1,8,0.343310544441015,440023.596403631
W,60,1.5,1,8,0.298975154596878,440023.596403631
u,60,1.5,1,9,0.23151892432227,440023.596403591
V,60,1.5,1,9,0.343310316222679,440023.596403591
W,60,1.5,1,9,0.29897488840869,440023.596403591
u,60,1.5,1,10,0.231518932605666,440023.596403589
V,60,1.5,1,10,0.343310250426202,440023.596403589
W,60,1.5,1,10,0.298974800937083,440023.596403589
u,60,1.5,2,0,0.338977998345745,NaN
u,60,1.5,2,1,0.229831180237995,439460.49272693
V,60,1.5,2,1,0.373518270882128,439460.49272693
W,60,1.5,2,1,0.312756561459063,439460.49272693
u,60,1.5,2,2,0.229193195413032,439440.497542331
V,60,1.5,2,2,0.362209268802432,439440.497542331
W,60,1.5,2,2,0.292914092161345,439440.497542331
u,60,1.5,2,3,0.229379885117379,439439.94559547
