factor,dim,SNR,seed,iteration,stat_err,optim_loss
u,60,1.5,1,0,0.36906953906734,NaN
u,60,1.5,1,1,0.243200363254492,440054.383535375
V,60,1.5,1,1,0.325089975925972,440054.383535375
W,60,1.5,1,1,0.251916820532874,440054.383535375
u,60,1.5,1,2,0.238872562811844,440031.22849452
V,60,1.5,1,2,0.313220871880794,440031.22849452
W,60,1.5,1,2,0.243140965332122,440031.22849452
u,60,1.5,1,3,0.238614819908138,440030.466626887
V,60,1.5,1,3,0.31169942348946,440030.466626887
W,60,1.5,1,3,0.242943283784795,440030.466626887
u,60,1.5,1,4,0.238590752944733,440030.432155214
V,60,1.5,1,4,0.311373892889628,440030.432155214
W,60,1.5,1,4,0.24292962832036,440030.432155214
u,60,1.5,1,5,0.238588688982159,440030.43127885
V,60,1.5,1,5,0.31129698244964,440030.43127885
W,60,1.5,1,5,0.242915690899799,440030.43127885
u,60,1.5,1,6,0.238588965228112,440030.431590738
V,60,1.5,1,6,0.311277946799501,440030.431590738
W,60,1.5,1,6,0.242907974529306,440030.431590738
u,60,1.5,1,7,0.238589257536267,440030.431723778
V,60,1.5,1,7,0.311273084206355,440030.431723778
W,60,1.5,1,7,0.242904763325639,440030.431723778
u,60,1.5,1,8,0.23858939869063,440030.431766647
V,60,1.5,1,8,0.311271813986894,440030.431766647
W,60,1.5,1,8,0.242903589989261,440030.431766647
u,60,1.5,1,9,0.238589454881996,440030.431779781
V,60,1.5,1,9,0.311271476847118,440030.431779781
W,60,1.5,1,9,0.242903189625186,440030.431779781
u,60,1.5,1,10,0.238589475314266,440030.431783767
V,60,1.5,1,10,0.311271386323122,440030.431783767
W,60,1.5,1,10,0.2429030582844,440030.431783767
u,60,1.5,2,0,0.359856366695808,NaN
u,60,1.5,2,1,0.24218641680106,439468.889040297
V,60,1.5,2,1,0.327932993801101,439468.889040297
W,60,1.5,2,1,0.252691485152455,439468.889040297
u,60,1.5,2,2,0.241784863649026,439448.530940112
V,60,1.5,2,2,0.309731041732796,439448.530940112
W,60,1.5,2,2,0.249360351342104,439448.530940112
u,60,1.5,2,3,0.242008612356665,439447.917900679
V,60,1.5,2,3,0.308016617529727,439447.917900679
W,60,1.5,2,3,0.250990669921765,439447.917900679
u,60,1.5,2,4,0.242025131301898,439447.893031512
V,60,1.5,2,4,0.307705758070157,439447.893031512
W,60,1.5,2,4,0.251367674337245,439447.893031512
u,60,1.5,2,5,0.242021682074505,439447.892815262
V,60,1.5,2,5,0.307629095099029,439447.892815262
W,60,1.5,2,5,0.251449563595615,439447.892815262
u,60,1.5,2,6,0.242019833251229,439447.893097986
V,60,1.5,2,6,0.307607797031031,439447.893097986
W,60,1.5,2,6,0.251467943285181,439447.893097986
u,60,1.5,2,7,0.2420192903852,439447.89318703
V,60,1.5,2,7,0.307601614933152,439447.89318703
W,60,1.5,2,7,0.251472286541101,439447.89318703
u,60,1.5,2,8,0.24201916461763,439447.893209772
V,60,1.5,2,8,0.30759979037484,439447.893209772
W,60,1.5,2,8,0.251473371661121,439447.893209772
u,60,1.5,2,9,0.242019141695674,439447.893215299
V,60,1.5,2,9,0.307599248486286,439447.893215299
W,60,1.5,2,9,0.251473657446131,439447.893215299
u,60,1.5,2,10,0.242019139460831,439447.893216615
V,60,1.5,2,10,0.307599087193149,439447.893216615
W,60,1.5,2,10,0.25147373621936,439447.893216615
u,60,1.5,3,0,0.35833388802067,NaN
u,60,1.5,3,1,0.239006582729275,437497.796981041
V,60,1.5,3,1,0.359962672605837,437497.796981041
W,60,1.5,3,1,0.293133867047065,437497.796981041
u,60,1.5,3,2,0.233617701565526,437473.276942891
V,60,1.5,3,2,0.348071106681216,437473.276942891
W,60,1.5,3,2,0.27377764775407,437473.276942891
u,60,1.5,3,3,0.232920554977337,437472.329933576
V,60,1.5,3,3,0.345895733734815,437472.329933576
W,60,1.5,3,3,0.271131640250493,437472.329933576
u,60,1.5,3,4,0.232747367962381,437472.280286142
V,60,1.5,3,4,0.345426932821264,437472.280286142
W,60,1.5,3,4,0.270527313142706,437472.280286142
u,60,1.5,3,5,0.232696411571484,437472.278312305
V,60,1.5,3,5,0.345316813989854,437472.278312305
W,60,1.5,3,5,0.270368867400065,437472.278312305
u,60,1.5,3,6,0.232681150352641,437472.278481182
V,60,1.5,3,6,0.345288745295663,437472.278481182
W,60,1.5,3,6,0.270325614794745,437472.278481182
u,60,1.5,3,7,0.232676608910619,437472.278566823
V,60,1.5,3,7,0.345281079741747,437472.278566823
W,60,1.5,3,7,0.270313607522619,437472.278566823
u,60,1.5,3,8,0.232675265687779,437472.278591578
V,60,1.5,3,8,0.345278873406817,437472.278591578
W,60,1.5,3,8,0.270310235817506,437472.278591578
u,60,1.5,3,9,0.232674869557477,437472.278598296
V,60,1.5,3,9,0.345278214889209,437472.278598296
W,60,1.5,3,9,0.270309279278399,437472.278598296
u,60,1.5,3,10,0.232674752777638,437472.278600139
V,60,1.5,3,10,0.345278013724603,437472.278600139
W,60,1.5,3,10,0.270309005248372,437472.278600139
u,60,1.5,4,0,0.344966532921113,NaN
u,60,1.5,4,1,0.21454465163337,439958.100994784
V,60,1.5,4,1,0.306666221821853,439958.100994784
W,60,1.5,4,1,0.244052451007744,439958.100994784
u,60,1.5,4,2,0.211300881624504,439936.566760855
V,60,1.5,4,2,0.286620769840486,439936.566760855
W,60,1.5,4,2,0.225288891640789,439936.566760855
u,60,1.5,4,3,0.211062912733946,439936.017058395
V,60,1.5,4,3,0.285839602643925,439936.017058395
W,60,1.5,4,3,0.224341300600042,439936.017058395
u,60,1.5,4,4,0.21101826637035,439935.991503976
V,60,1.5,4,4,0.285752833816681,439935.991503976
W,60,1.5,4,4,0.224230605982954,439935.991503976
u,60,1.5,4,5,0.211006741889496,439935.989762268
V,60,1.5,4,5,0.285743793886258,439935.989762268
W,60,1.5,4,5,0.224208719015679,439935.989762268
u,60,1.5,4,6,0.211003535324074,439935.989520954
V,60,1.5,4,6,0.28574452460386,439935.989520954
W,60,1.5,4,6,0.224203349218224,439935.989520954
u,60,1.5,4,7,0.211002627851035,439935.989453988
V,60,1.5,4,7,0.285745553911482,439935.989453988
W,60,1.5,4,7,0.224201902558436,439935.989453988
u,60,1.5,4,8,0.211002370474006,439935.989431731
V,60,1.5,4,8,0.285746052267357,439935.989431731
W,60,1.5,4,8,0.224201491742941,439935.989431731
u,60,1.5,4,9,0.211002297660983,439935.989424414
V,60,1.5,4,9,0.285746244874803,439935.989424414
W,60,1.5,4,9,0.224201370879104,439935.989424414
u,60,1.5,4,10,0.211002277151515,439935.98942209
V,60,1.5,4,10,0.285746312215355,439935.98942209
W,60,1.5,4,10,0.224201334407805,439935.98942209
u,60,1.5,5,0,0.351812327738886,NaN
u,60,1.5,5,1,0.22617016847549,438485.975813855
V,60,1.5,5,1,0.351495859343971,438485.975813855
W,60,1.5,5,1,0.261119750082581,438485.975813855
u,60,1.5,5,2,0.220644044153819,438461.354213592
V,60,1.5,5,2,0.344371123409181,438461.354213592
W,60,1.5,5,2,0.248256166511543,438461.354213592
u,60,1.5,5,3,0.219759218882945,438460.562844678
V,60,1.5,5,3,0.343874012361252,438460.562844678
W,60,1.5,5,3,0.246053545001335,438460.562844678
u,60,1.5,5,4,0.219542930827705,438460.52758845
V,60,1.5,5,4,0.343693931517788,438460.52758845
W,60,1.5,5,4,0.245555052999092,438460.52758845
u,60,1.5,5,5,0.219484286383098,438460.526725201
V,60,1.5,5,5,0.343630535581186,438460.526725201
W,60,1.5,5,5,0.245432549268412,438460.526725201
u,60,1.5,5,6,0.219467950284997,438460.526953629
V,60,1.5,5,6,0.343609725206337,438460.526953629
W,60,1.5,5,6,0.245401149492048,438460.526953629
u,60,1.5,5,7,0.219463362464932,438460.527037355
V,60,1.5,5,7,0.343603149539041,438460.527037355
W,60,1.5,5,7,0.245392906116128,438460.527037355
u,60,1.5,5,8,0.219462069891824,438460.527060354
V,60,1.5,5,8,0.34360111510344,438460.527060354
W,60,1.5,5,8,0.245390710479289,438460.527060354
u,60,1.5,5,9,0.219461705045388,438460.527066453
V,60,1.5,5,9,0.343600493666195,438460.527066453
W,60,1.5,5,9,0.245390120295655,438460.527066453
u,60,1.5,5,10,0.219461601905191,438460.527068086
V,60,1.5,5,10,0.343600305472058,438460.527068086
W,60,1.5,5,10,0.245389960693589,438460.527068086
u,60,1.5,6,0,0.352896793216138,NaN
u,60,1.5,6,1,0.247145649944884,437343.017847917
V,60,1.5,6,1,0.318611072358207,437343.017847917
W,60,1.5,6,1,0.32625365497165,437343.017847917
u,60,1.5,6,2,0.246910248659796,437316.120733876
V,60,1.5,6,2,0.3126402868997,437316.120733876
W,60,1.5,6,2,0.311234449336658,437316.120733876
u,60,1.5,6,3,0.24697356386055,437315.259491529
V,60,1.5,6,3,0.313185672124137,437315.259491529
W,60,1.5,6,3,0.30991840579386,437315.259491529
u,60,1.5,6,4,0.246943183170622,437315.21461396
V,60,1.5,6,4,0.313418041873815,437315.21461396
W,60,1.5,6,4,0.309640218541216,437315.21461396
u,60,1.5,6,5,0.246926954934228,437315.211085842
V,60,1.5,6,5,0.313491314935087,437315.211085842
W,60,1.5,6,5,0.309566483781948,437315.211085842
u,60,1.5,6,6,0.24692144029316,437315.210670577
V,60,1.5,6,6,0.313514388456727,437315.210670577
W,60,1.5,6,6,0.309545863956747,437315.210670577
u,60,1.5,6,7,0.246919793854691,437315.210608277
V,60,1.5,6,7,0.313521710660341,437315.210608277
W,60,1.5,6,7,0.309539962705215,437315.210608277
u,60,1.5,6,8,0.246919325054379,437315.210599155
V,60,1.5,6,8,0.313524031793053,437315.210599155
W,60,1.5,6,8,0.30953824395889,437315.210599155
u,60,1.5,6,9,0.246919193550955,437315.210598429
V,60,1.5,6,9,0.313524763296161,437315.210598429
W,60,1.5,6,9,0.309537736011969,437315.210598429
u,60,1.5,6,10,0.24691915665465,437315.210598692
V,60,1.5,6,10,0.31352499215515,437315.210598692
W,60,1.5,6,10,0.309537584154596,437315.210598692
u,60,1.5,7,0,0.353491747333769,NaN
u,60,1.5,7,1,0.234297140133011,438121.086555252
V,60,1.5,7,1,0.331293981047273,438121.086555252
W,60,1.5,7,1,0.267370591596226,438121.086555252
u,60,1.5,7,2,0.236340418996542,438092.709893112
V,60,1.5,7,2,0.327449197284903,438092.709893112
W,60,1.5,7,2,0.243988428854555,438092.709893112
u,60,1.5,7,3,0.237379666852342,438091.771602084
V,60,1.5,7,3,0.328438427726499,438091.771602084
W,60,1.5,7,3,0.242954714611014,438091.771602084
u,60,1.5,7,4,0.237642895267752,438091.726870118
V,60,1.5,7,4,0.328725407215458,438091.726870118
W,60,1.5,7,4,0.242982128783925,438091.726870118
u,60,1.5,7,5,0.237708171791374,438091.725241537
V,60,1.5,7,5,0.328805451337265,438091.725241537
W,60,1.5,7,5,0.243010019931398,438091.725241537
u,60,1.5,7,6,0.237724736235838,438091.725367254
V,60,1.5,7,6,0.328828924063634,438091.725367254
W,60,1.5,7,6,0.243018545542827,438091.725367254
u,60,1.5,7,7,0.23772903494911,438091.725415817
V,60,1.5,7,7,0.328835942225615,438091.725415817
W,60,1.5,7,7,0.243020658177277,438091.725415817
u,60,1.5,7,8,0.237730170026963,438091.725423637
V,60,1.5,7,8,0.32883804098879,438091.725423637
W,60,1.5,7,8,0.243021116765589,438091.725423637
u,60,1.5,7,9,0.237730473793505,438091.725423676
V,60,1.5,7,9,0.328838664978171,438091.725423676
